foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760515_49796242,760515,ENG-ARG SF,2026-07-15,49796242,3',3.0,1,Argentina,1,Enzo Fernández,,,,45.4,66.2,Foul by Enzo Fernández (Argentina).,0,,,,,1,SF01,under_carded,1,no,Enzo early foul Anderson; Athletic only,1
760517_49879055,760517,ESP-ARG Final,2026-07-19,49879055,14',14.0,1,Argentina,1,Alexis Mac Allister,,,,56.7,87.8,Foul by Alexis Mac Allister (Argentina).,0,,,,,1,F01,under_carded,7,yes_en_es_not_ar,Mac Allister on Olmo; FK yes card no,1
760517_49879092,760517,ESP-ARG Final,2026-07-19,49879092,18',18.0,1,Argentina,1,Nicolás Tagliafico,,,,58.7,91.1,Foul by Nicolás Tagliafico (Argentina).,0,,,,,1,F02,under_carded,3,yes_en_es_not_ar,Tagliafico on Yamal pattern 1H,1
760517_49879205,760517,ESP-ARG Final,2026-07-19,49879205,29',29.0,1,Argentina,1,Nicolás Tagliafico,,,,64.3,93.3,Foul by Nicolás Tagliafico (Argentina).,0,,,,,1,F02,under_carded,3,yes_en_es_not_ar,Tagliafico on Yamal pattern 1H,1
760517_49879313,760517,ESP-ARG Final,2026-07-19,49879313,36',36.0,1,Argentina,1,Nicolás Tagliafico,,,,70.2,94.4,Foul by Nicolás Tagliafico (Argentina).,0,,,,,1,F02,under_carded,3,yes_en_es_not_ar,Tagliafico on Yamal pattern 1H,1
