foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760456_49583392,760456,ARG-AUT GS,2026-06-22,49583392,35',35.0,1,Argentina,1,Nahuel Molina,Marcel Sabitzer,Austria,attacking half,42.2,38.8,Marcel Sabitzer (Austria) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760456_49583480,760456,ARG-AUT GS,2026-06-22,49583480,43',43.0,1,Austria,0,Kevin Danso,,,,58.0,4.5,Foul by Kevin Danso (Austria).,0,,,,,0,,,,,,0
760456_49583488,760456,ARG-AUT GS,2026-06-22,49583488,44',44.0,1,Argentina,1,Alexis Mac Allister,Romano Schmid,Austria,attacking half,35.0,61.4,Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760456_49583505,760456,ARG-AUT GS,2026-06-22,49583505,45',45.0,1,Argentina,1,Enzo Fernández,Romano Schmid,Austria,attacking half,38.2,57.8,Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760456_49583538,760456,ARG-AUT GS,2026-06-22,49583538,45'+2',45.02,1,Argentina,1,Lautaro Martínez,Konrad Laimer,Austria,left wing,25.0,3.4,Konrad Laimer (Austria) wins a free kick on the left wing.,0,,,,,0,,,,,,1
760456_49583724,760456,ARG-AUT GS,2026-06-22,49583724,48',48.0,2,Austria,0,Xaver Schlager,,,,57.0,63.4,Foul by Xaver Schlager (Austria).,0,,,,,0,,,,,,0
760456_49583796,760456,ARG-AUT GS,2026-06-22,49583796,52',52.0,2,Austria,0,Xaver Schlager,,,,31.1,55.6,Foul by Xaver Schlager (Austria).,0,,,,,0,,,,,,0
760456_49583806,760456,ARG-AUT GS,2026-06-22,49583806,53',53.0,2,Argentina,1,Enzo Fernández,Romano Schmid,Austria,defensive half,24.6,16.8,Romano Schmid (Austria) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760456_49583823,760456,ARG-AUT GS,2026-06-22,49583823,54',54.0,2,Argentina,1,Cristian Romero,Konrad Laimer,Austria,attacking half,21.2,24.0,Konrad Laimer (Austria) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760456_49583862,760456,ARG-AUT GS,2026-06-22,49583862,57',57.0,2,Austria,0,Paul Wanner,,,,73.2,35.6,Foul by Paul Wanner (Austria).,0,,,,,0,,,,,,0
760456_49584162,760456,ARG-AUT GS,2026-06-22,49584162,75',75.0,2,Austria,0,Xaver Schlager,,,,83.6,9.6,Foul by Xaver Schlager (Austria).,1,team_close,yellow-card,76',Konrad Laimer,0,,,,,,0
760456_49584173,760456,ARG-AUT GS,2026-06-22,49584173,76',76.0,2,Austria,0,Konrad Laimer,,,,65.3,7.8,Foul by Konrad Laimer (Austria).,1,player_pm3,yellow-card,76',Konrad Laimer,0,,,,,,0
760456_49584379,760456,ARG-AUT GS,2026-06-22,49584379,88',88.0,2,Austria,0,Patrick Wimmer,,,,76.4,9.8,Foul by Patrick Wimmer (Austria).,0,,,,,0,,,,,,0
760456_49584399,760456,ARG-AUT GS,2026-06-22,49584399,89',89.0,2,Argentina,1,Nicolás Otamendi,Patrick Wimmer,Austria,left wing,40.2,20.8,Patrick Wimmer (Austria) wins a free kick on the left wing.,1,team_close,yellow-card,90'+2',Leandro Paredes,0,,,,,,0
