event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,fk_zone,x,y,nearby_card_pm3,player_booked_in_match,text,play_id,priority_review
760456,ARG-AUT GS,90'+7',90.07,Austria,0,,attacking half,70.6,33.8,0,0,Lionel Messi (Argentina) wins a free kick in the attacking half.,49584502,0
760483,JOR-ARG GS,1',1.0,Argentina,1,Giuliano Simeone,,40.6,14.6,0,0,Foul by Giuliano Simeone (Argentina).,49645164,1
760483,JOR-ARG GS,32',32.0,Argentina,1,Giovani Lo Celso,right wing,49.8,88.6,0,0,Ali Olwan (Jordan) wins a free kick on the right wing.,49646087,1
760483,JOR-ARG GS,33',33.0,Argentina,1,Exequiel Palacios,attacking half,45.4,23.8,0,0,Odeh Fakhoury (Jordan) wins a free kick in the attacking half.,49646100,1
760483,JOR-ARG GS,34',34.0,Argentina,1,Nico Paz,defensive half,69.7,76.0,0,0,Nizar Al Rashdan (Jordan) wins a free kick in the defensive half.,49646135,1
760483,JOR-ARG GS,42',42.0,Argentina,1,Lautaro Martínez,defensive half,72.2,77.0,0,0,Ali Azaizeh (Jordan) wins a free kick in the defensive half.,49646454,1
760483,JOR-ARG GS,49',49.0,Argentina,1,Nicolás Tagliafico,defensive half,63.0,89.0,0,0,Mousa Al Tamari (Jordan) wins a free kick in the defensive half.,49646875,1
760483,JOR-ARG GS,75',75.0,Argentina,1,Nicolás Otamendi,left wing,19.8,13.5,0,0,Mahmoud Al Mardi (Jordan) wins a free kick on the left wing.,49647666,1
760483,JOR-ARG GS,28',28.0,Jordan,0,,,6.0,49.2,0,0,Penalty conceded by Nizar Al Rashdan (Jordan) after a foul in the penalty area.,49646031,0
760483,JOR-ARG GS,41',41.0,Jordan,0,Yazan Al Arab,,93.4,91.6,0,1,Foul by Yazan Al Arab (Jordan).,49646409,0
760483,JOR-ARG GS,45'+2',45.02,Jordan,0,Odeh Fakhoury,,68.8,45.6,0,0,Foul by Odeh Fakhoury (Jordan).,49646614,0
760483,JOR-ARG GS,45'+3',45.03,Jordan,0,Yazan Al Arab,,32.8,75.6,0,1,Foul by Yazan Al Arab (Jordan).,49646644,0
760483,JOR-ARG GS,45'+3',45.03,Jordan,0,,attacking half,66.8,25.6,0,0,Nico Paz (Argentina) wins a free kick in the attacking half.,49646646,0
760483,JOR-ARG GS,49',49.0,Jordan,0,Ali Olwan,,83.2,13.4,0,0,Foul by Ali Olwan (Jordan).,49646888,0
760483,JOR-ARG GS,79',79.0,Jordan,0,Amer Jamous,,27.8,51.0,0,0,Foul by Amer Jamous (Jordan).,49647773,0
760483,JOR-ARG GS,85',85.0,Jordan,0,Ehsan Haddad,,96.8,20.8,0,0,Foul by Ehsan Haddad (Jordan).,49647931,0
760500,ARG-CPV R32,4',4.0,Argentina,1,Rodrigo De Paul,,37.8,4.4,0,0,Foul by Rodrigo De Paul (Argentina).,49687202,1
760500,ARG-CPV R32,10',10.0,Argentina,1,Cristian Romero,attacking half,47.0,47.0,0,0,Jovane Cabral (Cabo Verde) wins a free kick in the attacking half.,49687303,1
760500,ARG-CPV R32,32',32.0,Argentina,1,Nahuel Molina,defensive half,58.6,27.0,0,0,Jovane Cabral (Cabo Verde) wins a free kick in the defensive half.,49687602,1
760500,ARG-CPV R32,43',43.0,Argentina,1,Lautaro Martínez,defensive half,94.2,25.6,0,0,Vozinha (Cabo Verde) wins a free kick in the defensive half.,49687791,1
760500,ARG-CPV R32,45'+2',45.02,Argentina,1,Lionel Messi,defensive half,69.8,33.8,0,0,Sidny Cabral (Cabo Verde) wins a free kick in the defensive half.,49687872,1
760500,ARG-CPV R32,50',50.0,Argentina,1,Lautaro Martínez,defensive half,59.8,77.2,0,0,Pico Lopes (Cabo Verde) wins a free kick in the defensive half.,49687979,1
760500,ARG-CPV R32,53',53.0,Argentina,1,Thiago Almada,defensive half,69.9,90.2,0,0,Steven Moreira (Cabo Verde) wins a free kick in the defensive half.,49688032,1
760500,ARG-CPV R32,58',58.0,Argentina,1,Cristian Romero,defensive half,55.4,25.1,0,0,Laros Duarte (Cabo Verde) wins a free kick in the defensive half.,49688127,1
760500,ARG-CPV R32,77',77.0,Argentina,1,Alexis Mac Allister,attacking half,32.6,38.4,0,0,Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half.,49688345,1
760500,ARG-CPV R32,90'+5',90.05,Argentina,1,Julián Alvarez,defensive half,4.6,50.2,0,0,Vozinha (Cabo Verde) wins a free kick in the defensive half.,49688599,1
760500,ARG-CPV R32,90'+6',90.06,Argentina,1,Nico González,attacking half,40.4,74.0,0,0,Steven Moreira (Cabo Verde) wins a free kick in the attacking half.,49688604,1
760500,ARG-CPV R32,17',17.0,Cape Verde,0,Jovane Cabral,,24.3,39.1,0,0,Foul by Jovane Cabral (Cabo Verde).,49687420,0
760500,ARG-CPV R32,17',17.0,Cape Verde,0,,attacking half,78.6,61.3,0,0,Lionel Messi (Argentina) wins a free kick in the attacking half.,49687422,0
