event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text
760456,ARG-AUT GS,2026-06-22,49583185,21',1,Argentina,Lautaro Martínez,,,,63.6,9.6,Foul by Lautaro Martínez (Argentina).,Foul by Lautaro Martínez (Argentina).
760456,ARG-AUT GS,2026-06-22,49583319,32',1,Argentina,Facundo Medina,Romano Schmid,Austria,defensive half,27.6,9.6,Romano Schmid (Austria) wins a free kick in the defensive half.,Foul by Facundo Medina (Argentina).
760456,ARG-AUT GS,2026-06-22,49583392,35',1,Argentina,Nahuel Molina,Marcel Sabitzer,Austria,attacking half,42.2,38.8,Marcel Sabitzer (Austria) wins a free kick in the attacking half.,Foul by Nahuel Molina (Argentina).
760456,ARG-AUT GS,2026-06-22,49583480,43',1,Austria,Kevin Danso,,,,58.0,4.5,Foul by Kevin Danso (Austria).,Lionel Messi (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49583488,44',1,Argentina,Alexis Mac Allister,Romano Schmid,Austria,attacking half,35.0,61.4,Romano Schmid (Austria) wins a free kick in the attacking half.,Foul by Alexis Mac Allister (Argentina).
760456,ARG-AUT GS,2026-06-22,49583505,45',1,Argentina,Enzo Fernández,Romano Schmid,Austria,attacking half,38.2,57.8,Romano Schmid (Austria) wins a free kick in the attacking half.,Foul by Enzo Fernández (Argentina).
760456,ARG-AUT GS,2026-06-22,49583538,45'+2',1,Argentina,Lautaro Martínez,Konrad Laimer,Austria,left wing,25.0,3.4,Konrad Laimer (Austria) wins a free kick on the left wing.,Foul by Lautaro Martínez (Argentina).
760456,ARG-AUT GS,2026-06-22,49583724,48',2,Austria,Xaver Schlager,,,,57.0,63.4,Foul by Xaver Schlager (Austria).,Lionel Messi (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49583796,52',2,Austria,Xaver Schlager,,,,31.1,55.6,Foul by Xaver Schlager (Austria).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760456,ARG-AUT GS,2026-06-22,49583806,53',2,Argentina,Enzo Fernández,Romano Schmid,Austria,defensive half,24.6,16.8,Romano Schmid (Austria) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).
760456,ARG-AUT GS,2026-06-22,49583823,54',2,Argentina,Cristian Romero,Konrad Laimer,Austria,attacking half,21.2,24.0,Konrad Laimer (Austria) wins a free kick in the attacking half.,Foul by Cristian Romero (Argentina).
760456,ARG-AUT GS,2026-06-22,49583862,57',2,Austria,Paul Wanner,,,,73.2,35.6,Foul by Paul Wanner (Austria).,Lautaro Martínez (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49584162,75',2,Austria,Xaver Schlager,,,,83.6,9.6,Foul by Xaver Schlager (Austria).,Enzo Fernández (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49584173,76',2,Austria,Konrad Laimer,,,,65.3,7.8,Foul by Konrad Laimer (Austria).,Nico González (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49584379,88',2,Austria,Patrick Wimmer,,,,76.4,9.8,Foul by Patrick Wimmer (Austria).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
760456,ARG-AUT GS,2026-06-22,49584399,89',2,Argentina,Nicolás Otamendi,Patrick Wimmer,Austria,left wing,40.2,20.8,Patrick Wimmer (Austria) wins a free kick on the left wing.,Foul by Nicolás Otamendi (Argentina).
760456,ARG-AUT GS,2026-06-22,49584427,90'+1',2,Austria,Patrick Wimmer,,,,9.4,15.9,Foul by Patrick Wimmer (Austria).,Nico González (Argentina) wins a free kick on the left wing.
760456,ARG-AUT GS,2026-06-22,49584444,90'+2',2,Argentina,Leandro Paredes,Carney Chukwuemeka,Austria,attacking half,59.2,54.0,Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,Foul by Leandro Paredes (Argentina).
760456,ARG-AUT GS,2026-06-22,49584501,90'+7',2,Austria,Patrick Wimmer,,,,29.8,65.9,Foul by Patrick Wimmer (Austria).,Foul by Patrick Wimmer (Austria).
760456,ARG-AUT GS,2026-06-22,49584502,90'+7',2,Austria,,Lionel Messi,Argentina,attacking half,70.6,33.8,Lionel Messi (Argentina) wins a free kick in the attacking half.,Lionel Messi (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49645164,1',1,Argentina,Giuliano Simeone,,,,40.6,14.6,Foul by Giuliano Simeone (Argentina).,Ali Olwan (Jordan) wins a free kick on the left wing.
760483,JOR-ARG GS,2026-06-28,49645753,17',1,Jordan,Mohannad Abu Taha,,,,18.4,63.6,Foul by Mohannad Abu Taha (Jordan).,Giovani Lo Celso (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49646031,28',1,Jordan,,,,,6.0,49.2,Penalty conceded by Nizar Al Rashdan (Jordan) after a foul in the penalty area.,Penalty Argentina. Marcos Senesi draws a foul in the penalty area.
760483,JOR-ARG GS,2026-06-28,49646087,32',1,Argentina,Giovani Lo Celso,Ali Olwan,Jordan,right wing,49.8,88.6,Ali Olwan (Jordan) wins a free kick on the right wing.,Foul by Giovani Lo Celso (Argentina).
760483,JOR-ARG GS,2026-06-28,49646100,33',1,Argentina,Exequiel Palacios,Odeh Fakhoury,Jordan,attacking half,45.4,23.8,Odeh Fakhoury (Jordan) wins a free kick in the attacking half.,Foul by Exequiel Palacios (Argentina).
760483,JOR-ARG GS,2026-06-28,49646135,34',1,Argentina,Nico Paz,Nizar Al Rashdan,Jordan,defensive half,69.7,76.0,Nizar Al Rashdan (Jordan) wins a free kick in the defensive half.,Foul by Nico Paz (Argentina).
760483,JOR-ARG GS,2026-06-28,49646409,41',1,Jordan,Yazan Al Arab,,,,93.4,91.6,Foul by Yazan Al Arab (Jordan).,Exequiel Palacios (Argentina) wins a free kick in the defensive half.
760483,JOR-ARG GS,2026-06-28,49646454,42',1,Argentina,Lautaro Martínez,Ali Azaizeh,Jordan,defensive half,72.2,77.0,Ali Azaizeh (Jordan) wins a free kick in the defensive half.,Foul by Lautaro Martínez (Argentina).
760483,JOR-ARG GS,2026-06-28,49646614,45'+2',1,Jordan,Odeh Fakhoury,,,,68.8,45.6,Foul by Odeh Fakhoury (Jordan).,Marcos Senesi (Argentina) wins a free kick in the defensive half.
760483,JOR-ARG GS,2026-06-28,49646644,45'+3',1,Jordan,Yazan Al Arab,,,,32.8,75.6,Foul by Yazan Al Arab (Jordan).,Foul by Yazan Al Arab (Jordan).
760483,JOR-ARG GS,2026-06-28,49646646,45'+3',1,Jordan,,Nico Paz,Argentina,attacking half,66.8,25.6,Nico Paz (Argentina) wins a free kick in the attacking half.,Nico Paz (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49646875,49',2,Argentina,Nicolás Tagliafico,Mousa Al Tamari,Jordan,defensive half,63.0,89.0,Mousa Al Tamari (Jordan) wins a free kick in the defensive half.,Foul by Nicolás Tagliafico (Argentina).
760483,JOR-ARG GS,2026-06-28,49646888,49',2,Jordan,Ali Olwan,,,,83.2,13.4,Foul by Ali Olwan (Jordan).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
760483,JOR-ARG GS,2026-06-28,49647364,64',2,Jordan,Yazan Al Arab,,,,29.7,46.5,Foul by Yazan Al Arab (Jordan).,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49647445,67',2,Jordan,Mahmoud Al Mardi,,,,47.2,65.3,Foul by Mahmoud Al Mardi (Jordan).,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49647666,75',2,Argentina,Nicolás Otamendi,Mahmoud Al Mardi,Jordan,left wing,19.8,13.5,Mahmoud Al Mardi (Jordan) wins a free kick on the left wing.,Foul by Nicolás Otamendi (Argentina).
760483,JOR-ARG GS,2026-06-28,49647773,79',2,Jordan,Amer Jamous,,,,27.8,51.0,Foul by Amer Jamous (Jordan).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760483,JOR-ARG GS,2026-06-28,49647931,85',2,Jordan,Ehsan Haddad,,,,96.8,20.8,Foul by Ehsan Haddad (Jordan).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
760483,JOR-ARG GS,2026-06-28,49648053,88',2,Jordan,Husam Abu Dahab,,,,7.9,86.2,Foul by Husam Abu Dahab (Jordan).,Valentín Barco (Argentina) wins a free kick on the right wing.
760483,JOR-ARG GS,2026-06-28,49648233,90'+4',2,Jordan,Mohammad Abu Zraiq,,,,28.8,52.0,Foul by Mohammad Abu Zraiq (Jordan).,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49687202,4',1,Argentina,Rodrigo De Paul,,,,37.8,4.4,Foul by Rodrigo De Paul (Argentina).,Foul by Rodrigo De Paul (Argentina).
760500,ARG-CPV R32,2026-07-03,49687303,10',1,Argentina,Cristian Romero,Jovane Cabral,Cabo Verde,attacking half,47.0,47.0,Jovane Cabral (Cabo Verde) wins a free kick in the attacking half.,Foul by Cristian Romero (Argentina).
760500,ARG-CPV R32,2026-07-03,49687420,17',1,Cape Verde,Jovane Cabral,,,,24.3,39.1,Foul by Jovane Cabral (Cabo Verde).,Foul by Jovane Cabral (Cabo Verde).
760500,ARG-CPV R32,2026-07-03,49687422,17',1,Cape Verde,,Lionel Messi,Argentina,attacking half,78.6,61.3,Lionel Messi (Argentina) wins a free kick in the attacking half.,Lionel Messi (Argentina) wins a free kick in the attacking half.
760500,ARG-CPV R32,2026-07-03,49687602,32',1,Argentina,Nahuel Molina,Jovane Cabral,Cabo Verde,defensive half,58.6,27.0,Jovane Cabral (Cabo Verde) wins a free kick in the defensive half.,Foul by Nahuel Molina (Argentina).
760500,ARG-CPV R32,2026-07-03,49687737,40',1,Cape Verde,Deroy Duarte,,,,64.3,23.9,Foul by Deroy Duarte (Cabo Verde).,Thiago Almada (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49687776,42',1,Cape Verde,Deroy Duarte,,,,67.8,75.4,Foul by Deroy Duarte (Cabo Verde).,Enzo Fernández (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49687787,43',1,Cape Verde,Diney Borges,,,,59.4,92.4,Foul by Diney Borges (Cabo Verde).,Lionel Messi (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49687791,43',1,Argentina,Lautaro Martínez,Vozinha,Cabo Verde,defensive half,94.2,25.6,Vozinha (Cabo Verde) wins a free kick in the defensive half.,Foul by Lautaro Martínez (Argentina).
760500,ARG-CPV R32,2026-07-03,49687872,45'+2',1,Argentina,Lionel Messi,Sidny Cabral,Cabo Verde,defensive half,69.8,33.8,Sidny Cabral (Cabo Verde) wins a free kick in the defensive half.,Foul by Lionel Messi (Argentina).
760500,ARG-CPV R32,2026-07-03,49687979,50',2,Argentina,Lautaro Martínez,Pico Lopes,Cabo Verde,defensive half,59.8,77.2,Pico Lopes (Cabo Verde) wins a free kick in the defensive half.,Foul by Lautaro Martínez (Argentina).
