        | Lineups are announced and players are warming up.
 90'+5' | Vozinha (Cabo Verde) wins a free kick in the defensive half.
 90'+5' | Foul by Julián Alvarez (Argentina).
 90'+6' | Steven Moreira (Cabo Verde) wins a free kick in the attacking half.
 90'+6' | Foul by Nico González (Argentina).
 90'+8' | Foul by Willy Semedo (Cabo Verde).
 90'+8' | Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
 90'+9' | Second Half ends, Argentina 1, Cabo Verde 1.
    90' | First Half Extra Time begins Argentina 1, Cabo Verde 1.
    92' | Corner, Argentina. Conceded by Pico Lopes.
    92' | Goal! Argentina 2, Cabo Verde 1. Lisandro Martínez (Argentina) left footed shot from the right side of the box to the top right corner. Assisted by Alexis Mac Allister with a headed pass following a corner.
    96' | Corner, Cabo Verde. Conceded by Alexis Mac Allister.
    96' | Corner, Cabo Verde. Conceded by Nico González.
    97' | Attempt missed. Diney Borges (Cabo Verde) header from the centre of the box misses to the left. Assisted by Sidny Cabral with a cross following a corner.
    97' | Corner, Cabo Verde. Conceded by Lisandro Martínez.
    97' | Attempt blocked. Steven Moreira (Cabo Verde) right footed shot from outside the box is blocked. Assisted by Hélio Varela.
    98' | Attempt blocked. Lionel Messi (Argentina) left footed shot from the centre of the box is blocked. Assisted by Julián Alvarez.
    98' | Attempt blocked. Julián Alvarez (Argentina) right footed shot from the centre of the box is blocked.
    98' | Corner, Argentina. Conceded by Sidny Cabral.
    99' | Attempt blocked. Enzo Fernández (Argentina) right footed shot from outside the box is blocked.
   100' | Substitution, Cabo Verde. Yannick Semedo replaces Deroy Duarte.
   100' | Substitution, Cabo Verde. Gilson Benchimol replaces Kevin Pina.
   103' | Goal! Argentina 2, Cabo Verde 2. Sidny Cabral (Cabo Verde) right footed shot from the left side of the box to the top right corner. Assisted by Yannick Semedo.
   104' | Substitution, Argentina. Gonzalo Montiel replaces Nahuel Molina.
   105' | Fourth official has announced 3 minutes of added time.
105'+1' | Attempt saved. Lionel Messi (Argentina) left footed shot from the centre of the box is saved in the centre of the goal by Vozinha (Cabo Verde).
105'+1' | Attempt blocked. Gonzalo Montiel (Argentina) right footed shot from the centre of the box is blocked.
105'+4' | First Half Extra Time ends, Argentina 2, Cabo Verde 2.
   105' | Second Half Extra Time begins Argentina 2, Cabo Verde 2.
   107' | Foul by Jamiro Monteiro (Cabo Verde).
   107' | Alexis Mac Allister (Argentina) wins a free kick in the attacking half.
   108' | Attempt missed. Yannick Semedo (Cabo Verde) right footed shot from outside the box misses to the left. Assisted by Gilson Benchimol.
   109' | Offside, Argentina. Nicolás Tagliafico is caught offside.
   110' | Foul by Willy Semedo (Cabo Verde).
   110' | Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
   111' | Corner, Argentina. Conceded by Diney Borges.
   111' | Attempt missed. Cristian Romero (Argentina) header from the left side of the six yard box misses to the right. Assisted by Lionel Messi with a cross following a corner.
   111' | Own Goal by Diney Borges, Cabo Verde. Argentina 3, Cabo Verde 2.
   114' | Attempt blocked. Willy Semedo (Cabo Verde) left footed shot from the left side of the box is blocked. Assisted by Jamiro Monteiro.
   115' | Hélio Varela (Cabo Verde) wins a free kick on the left wing.
   115' | Foul by Gonzalo Montiel (Argentina).
   115' | Gonzalo Montiel (Argentina) is shown the yellow card for a bad foul.
   116' | Attempt saved. Sidny Cabral (Cabo Verde) right footed shot from a difficult angle and long range on the left is saved in the top right corner by Emiliano Martínez (Argentina).
   116' | Corner, Cabo Verde. Conceded by Emiliano Martínez.
   119' | Attempt saved. Diney Borges (Cabo Verde) header from the centre of the box is saved in the bottom left corner by Emiliano Martínez (Argentina). Assisted by Steven Moreira with a cross.
   119' | Corner, Cabo Verde. Conceded by Emiliano Martínez.
   119' | Offside, Cabo Verde. Dailon Livramento is caught offside.
120'+1' | Attempt blocked. Hélio Varela (Cabo Verde) right footed shot from outside the box is blocked. Assisted by Yannick Semedo.
120'+1' | Corner, Cabo Verde. Conceded by Lisandro Martínez.
120'+1' | Fourth official has announced 3 minutes of added time.
120'+2' | Attempt blocked. Jamiro Monteiro (Cabo Verde) right footed shot from outside the box is blocked. Assisted by Yannick Semedo with a cross.
120'+2' | Attempt missed. Hélio Varela (Cabo Verde) right footed shot from outside the box misses to the left.
120'+4' | Second Half Extra Time ends, Argentina 3, Cabo Verde 2.
        | Match ends, Argentina 3, Cabo Verde 2.
