narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
opta_760517_156,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,156,117',117.0,Attempt blocked. Lionel Messi (Argentina) left footed shot from outside the box is blocked. Assisted by Giuliano Simeone.,0,0,0,0,0,0,0
opta_760517_157,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,157,117',117.0,Delay in match because of an injury Mikel Merino (Spain).,0,0,0,0,0,0,0
opta_760517_158,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,158,118',118.0,Delay over. They are ready to continue.,0,0,0,0,0,0,0
opta_760517_159,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,159,119',119.0,Marcos Senesi (Argentina) wins a free kick on the right wing.,1,0,0,0,0,0,0
opta_760517_160,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,160,119',119.0,Foul by Nico Williams (Spain).,1,0,0,0,0,0,0
opta_760517_161,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,161,120',120.0,"Corner, Argentina. Conceded by Pau Cubarsí.",0,0,0,0,0,0,0
opta_760517_162,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,162,120',120.0,Fourth official has announced 5 minutes of added time.,0,0,0,0,0,0,0
opta_760517_163,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,163,120'+1',120.01,"Corner, Argentina. Conceded by Martín Zubimendi.",0,0,0,0,0,0,0
opta_760517_164,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,164,120'+2',120.02,Attempt missed. Giuliano Simeone (Argentina) right footed shot from the centre of the box is too high. Assisted by Nicolás Tagliafico following a corner.,0,0,0,0,0,0,0
opta_760517_165,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,165,120'+3',120.03,Foul by Nicolás Tagliafico (Argentina).,1,0,0,0,0,0,0
opta_760517_166,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,166,120'+3',120.03,Pau Cubarsí (Spain) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760517_167,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,167,120'+4',120.04,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760517_168,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,168,120'+4',120.04,Foul by Eric García (Spain).,1,0,0,0,0,0,0
opta_760517_169,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,169,120'+5',120.05,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760517_170,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,170,120'+5',120.05,Foul by Marc Cucurella (Spain).,1,0,0,0,0,0,0
opta_760517_171,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,171,120'+5',120.05,"Second Half Extra Time ends, Spain 1, Argentina 0.",0,0,0,0,0,0,0
opta_760517_172,opta,espn_opta,OFFICIAL,760517,ESP-ARG Final,2026-07-19,172,,,"| Match ends, Spain 1, Argentina 0.",0,0,0,0,0,0,0
