foul_id,event_id,match,minute_num,minute_raw,foul_player,is_argentina,carded,n_coverage_rows,n_country_families,country_families,n_under_carded_stance,has_multi_country_ge3,panel_incidents
760509_49731551,760509,ARG-EGY R16,48.0,48',Nicolás Tagliafico,1,0,0,0,,0,0,
760509_49732163,760509,ARG-EGY R16,87.0,87',Nico González,1,0,0,0,,0,0,
760509_49732287,760509,ARG-EGY R16,90.07,90'+7',Nico González,1,0,0,0,,0,0,
760513_49769543,760513,ARG-SUI QF,3.0,3',Julián Alvarez,1,0,0,0,,0,0,
760513_49769859,760513,ARG-SUI QF,13.0,13',Cristian Romero,1,0,0,0,,0,0,
760513_49770527,760513,ARG-SUI QF,35.0,35',Julián Alvarez,1,0,0,0,,0,0,
760513_49770564,760513,ARG-SUI QF,36.0,36',Leandro Paredes,1,0,0,0,,0,0,
760513_49770665,760513,ARG-SUI QF,40.0,40',Lisandro Martínez,1,0,0,0,,0,0,
760513_49770693,760513,ARG-SUI QF,42.0,42',Leandro Paredes,1,0,0,0,,0,0,
760513_49770723,760513,ARG-SUI QF,45.0,45',Lisandro Martínez,1,0,0,0,,0,0,
760513_49771073,760513,ARG-SUI QF,48.0,48',Nicolás Tagliafico,1,0,0,0,,0,0,
760513_49771856,760513,ARG-SUI QF,79.0,79',Julián Alvarez,1,0,0,0,,0,0,
760513_49772249,760513,ARG-SUI QF,90.09,90'+9',Gonzalo Montiel,1,0,0,0,,0,0,
760513_49772582,760513,ARG-SUI QF,107.0,107',Alexis Mac Allister,1,0,0,0,,0,0,
760513_49772722,760513,ARG-SUI QF,118.0,118',José Manuel López,1,0,0,0,,0,0,
760515_49796217,760515,ENG-ARG SF,2.0,2',Leandro Paredes,1,0,0,0,,0,0,
760515_49796242,760515,ENG-ARG SF,3.0,3',Enzo Fernández,1,0,0,0,,0,0,
760515_49796298,760515,ENG-ARG SF,6.0,6',Giuliano Simeone,1,0,0,0,,0,0,
760515_49796334,760515,ENG-ARG SF,9.0,9',Giuliano Simeone,1,0,0,0,,0,0,
760515_49796448,760515,ENG-ARG SF,16.0,16',Giuliano Simeone,1,0,0,0,,0,0,
760515_49796570,760515,ENG-ARG SF,25.0,25',Giuliano Simeone,1,0,0,0,,0,0,
760515_49796657,760515,ENG-ARG SF,32.0,32',Enzo Fernández,1,0,0,0,,0,0,
760515_49796672,760515,ENG-ARG SF,34.0,34',Giuliano Simeone,1,0,0,0,,0,0,
760515_49796694,760515,ENG-ARG SF,35.0,35',Nahuel Molina,1,0,0,0,,0,0,
760515_49796908,760515,ENG-ARG SF,45.03,45'+3',,1,0,0,0,,0,0,
760515_49797368,760515,ENG-ARG SF,69.0,69',Cristian Romero,1,0,0,0,,0,0,
760515_49797543,760515,ENG-ARG SF,81.0,81',Nico González,1,0,0,0,,0,0,
760517_49878856,760517,ESP-ARG Final,4.0,4',Gonzalo Montiel,1,0,0,0,,0,0,
760517_49879285,760517,ESP-ARG Final,34.0,34',Julián Alvarez,1,0,0,0,,0,0,
760517_49879353,760517,ESP-ARG Final,38.0,38',Julián Alvarez,1,0,0,0,,0,0,
760517_49879710,760517,ESP-ARG Final,56.0,56',Julián Alvarez,1,0,0,0,,0,0,
760517_49879711,760517,ESP-ARG Final,56.0,56',,1,0,0,0,,0,0,
760517_49879773,760517,ESP-ARG Final,62.0,62',Nicolás Otamendi,1,0,0,0,,0,0,
760517_49880311,760517,ESP-ARG Final,94.0,94',Giuliano Simeone,1,0,0,0,,0,0,
760517_49880377,760517,ESP-ARG Final,100.0,100',Lionel Messi,1,0,0,0,,0,0,
760517_49880504,760517,ESP-ARG Final,105.03,105'+3',Giuliano Simeone,1,0,0,0,,0,0,
760517_49880506,760517,ESP-ARG Final,105.03,105'+3',,1,0,0,0,,0,0,
760517_49880735,760517,ESP-ARG Final,120.03,120'+3',Nicolás Tagliafico,1,0,0,0,,0,0,
760456_49584399,760456,ARG-AUT GS,89.0,89',Nicolás Otamendi,1,1,0,0,,0,0,
760456_49584444,760456,ARG-AUT GS,90.02,90'+2',Leandro Paredes,1,1,0,0,,0,0,
760500_49689475,760500,ARG-CPV R32,115.0,115',Gonzalo Montiel,1,1,0,0,,0,0,
760513_49772401,760513,ARG-SUI QF,97.0,97',Thiago Almada,1,1,0,0,,0,0,
760513_49772413,760513,ARG-SUI QF,98.0,98',Lautaro Martínez,1,1,0,0,,0,0,
760515_49796782,760515,ENG-ARG SF,42.0,42',Lisandro Martínez,1,1,0,0,,0,0,
760515_49796805,760515,ENG-ARG SF,43.0,43',Enzo Fernández,1,1,0,0,,0,0,
760515_49797059,760515,ENG-ARG SF,51.0,51',Cristian Romero,1,1,0,0,,0,0,
760517_49879409,760517,ESP-ARG Final,41.0,41',Lisandro Martínez,1,1,0,0,,0,0,
760517_49880030,760517,ESP-ARG Final,81.0,81',Giuliano Simeone,1,1,0,0,,0,0,
760517_49880083,760517,ESP-ARG Final,84.0,84',Enzo Fernández,1,1,0,0,,0,0,
760517_49880212,760517,ESP-ARG Final,90.03,90'+3',Enzo Fernández,1,1,0,0,,0,0,
760517_49880598,760517,ESP-ARG Final,111.0,111',Nicolás Tagliafico,1,1,0,0,,0,0,
760433_49536166,760433,ARG-ALG GS,34.0,34',Amine Gouiri,0,0,0,0,,0,0,
760433_49536190,760433,ARG-ALG GS,36.0,36',Rafik Belghali,0,0,0,0,,0,0,
760433_49536402,760433,ARG-ALG GS,45.04,45'+4',Rafik Belghali,0,0,0,0,,0,0,
760433_49536473,760433,ARG-ALG GS,48.0,48',Hicham Boudaoui,0,0,0,0,,0,0,
760433_49536725,760433,ARG-ALG GS,63.0,63',Hicham Boudaoui,0,0,0,0,,0,0,
760433_49536737,760433,ARG-ALG GS,64.0,64',Mohammed Amoura,0,0,0,0,,0,0,
760433_49536901,760433,ARG-ALG GS,75.0,75',Farès Chaïbi,0,0,0,0,,0,0,
760456_49582963,760456,ARG-AUT GS,4.0,4',,0,0,0,0,,0,0,
760456_49583013,760456,ARG-AUT GS,10.0,10',Romano Schmid,0,0,0,0,,0,0,
760456_49583113,760456,ARG-AUT GS,18.0,18',Paul Wanner,0,0,0,0,,0,0,
760456_49583480,760456,ARG-AUT GS,43.0,43',Kevin Danso,0,0,0,0,,0,0,
760456_49583724,760456,ARG-AUT GS,48.0,48',Xaver Schlager,0,0,0,0,,0,0,
760456_49583796,760456,ARG-AUT GS,52.0,52',Xaver Schlager,0,0,0,0,,0,0,
760456_49583862,760456,ARG-AUT GS,57.0,57',Paul Wanner,0,0,0,0,,0,0,
760456_49584379,760456,ARG-AUT GS,88.0,88',Patrick Wimmer,0,0,0,0,,0,0,
760456_49584427,760456,ARG-AUT GS,90.01,90'+1',Patrick Wimmer,0,0,0,0,,0,0,
760456_49584501,760456,ARG-AUT GS,90.07,90'+7',Patrick Wimmer,0,0,0,0,,0,0,
760456_49584502,760456,ARG-AUT GS,90.07,90'+7',,0,0,0,0,,0,0,
760483_49646031,760483,JOR-ARG GS,28.0,28',,0,0,0,0,,0,0,
760483_49646409,760483,JOR-ARG GS,41.0,41',Yazan Al Arab,0,0,0,0,,0,0,
760483_49646614,760483,JOR-ARG GS,45.02,45'+2',Odeh Fakhoury,0,0,0,0,,0,0,
760483_49646644,760483,JOR-ARG GS,45.03,45'+3',Yazan Al Arab,0,0,0,0,,0,0,
760483_49646646,760483,JOR-ARG GS,45.03,45'+3',,0,0,0,0,,0,0,
760483_49646888,760483,JOR-ARG GS,49.0,49',Ali Olwan,0,0,0,0,,0,0,
760483_49647445,760483,JOR-ARG GS,67.0,67',Mahmoud Al Mardi,0,0,0,0,,0,0,
760483_49647773,760483,JOR-ARG GS,79.0,79',Amer Jamous,0,0,0,0,,0,0,
760483_49647931,760483,JOR-ARG GS,85.0,85',Ehsan Haddad,0,0,0,0,,0,0,
760483_49648053,760483,JOR-ARG GS,88.0,88',Husam Abu Dahab,0,0,0,0,,0,0,
760500_49687420,760500,ARG-CPV R32,17.0,17',Jovane Cabral,0,0,0,0,,0,0,
760500_49687422,760500,ARG-CPV R32,17.0,17',,0,0,0,0,,0,0,
760500_49687737,760500,ARG-CPV R32,40.0,40',Deroy Duarte,0,0,0,0,,0,0,
760500_49687776,760500,ARG-CPV R32,42.0,42',Deroy Duarte,0,0,0,0,,0,0,
760500_49687787,760500,ARG-CPV R32,43.0,43',Diney Borges,0,0,0,0,,0,0,
760500_49688326,760500,ARG-CPV R32,71.0,71',Deroy Duarte,0,0,0,0,,0,0,
760500_49688350,760500,ARG-CPV R32,78.0,78',Dailon Livramento,0,0,0,0,,0,0,
760500_49688366,760500,ARG-CPV R32,79.0,79',Kevin Pina,0,0,0,0,,0,0,
760500_49688594,760500,ARG-CPV R32,90.04,90'+4',Jamiro Monteiro,0,0,0,0,,0,0,
760500_49688637,760500,ARG-CPV R32,90.08,90'+8',Willy Semedo,0,0,0,0,,0,0,
760500_49689253,760500,ARG-CPV R32,107.0,107',Jamiro Monteiro,0,0,0,0,,0,0,
760500_49689336,760500,ARG-CPV R32,110.0,110',Willy Semedo,0,0,0,0,,0,0,
760509_49731025,760509,ARG-EGY R16,18.0,18',Yasser Ibrahim,0,0,0,0,,0,0,
760509_49731036,760509,ARG-EGY R16,19.0,19',,0,0,0,0,,0,0,
760509_49731162,760509,ARG-EGY R16,30.0,30',Marwan Attia,0,0,0,0,,0,0,
760509_49731195,760509,ARG-EGY R16,33.0,33',Mohanad Lasheen,0,0,0,0,,0,0,
760509_49731385,760509,ARG-EGY R16,44.0,44',Marwan Attia,0,0,0,0,,0,0,
760509_49731628,760509,ARG-EGY R16,52.0,52',Mohamed Salah,0,0,0,0,,0,0,
760509_49731691,760509,ARG-EGY R16,55.0,55',Hamdi Fathy,0,0,0,0,,0,0,
760509_49731757,760509,ARG-EGY R16,58.0,58',Marwan Attia,0,0,0,0,,0,0,
760509_49731820,760509,ARG-EGY R16,64.0,64',Mohamed Salah,0,0,0,0,,0,0,
760513_49769481,760513,ARG-SUI QF,1.0,1',Denis Zakaria,0,0,0,0,,0,0,
760513_49770014,760513,ARG-SUI QF,17.0,17',,0,0,0,0,,0,0,
760513_49770012,760513,ARG-SUI QF,17.0,17',Ricardo Rodríguez,0,0,0,0,,0,0,
760513_49770160,760513,ARG-SUI QF,22.0,22',Fabian Rieder,0,0,0,0,,0,0,
760513_49770170,760513,ARG-SUI QF,23.0,23',Djibril Sow,0,0,0,0,,0,0,
760513_49770296,760513,ARG-SUI QF,28.0,28',Granit Xhaka,0,0,0,0,,0,0,
760513_49770429,760513,ARG-SUI QF,32.0,32',Dan Ndoye,0,0,0,0,,0,0,
760513_49770655,760513,ARG-SUI QF,39.0,39',Denis Zakaria,0,0,0,0,,0,0,
760513_49771361,760513,ARG-SUI QF,59.0,59',Remo Freuler,0,0,0,0,,0,0,
760513_49771472,760513,ARG-SUI QF,62.0,62',Djibril Sow,0,0,0,0,,0,0,
