event_id,match,date,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,opta_lines,opta_foul_lines,opta_card_lines,media_lines,any_activity
760433,ARG-ALG GS,2026-06-17,0,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,1,1,0,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,2,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,3,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,4,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,5,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,6,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,7,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,8,0,0,0,0,2,0,0,0,1
760433,ARG-ALG GS,2026-06-17,9,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,10,1,0,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,11,1,0,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,12,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,13,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,14,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,15,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,16,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,17,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,18,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,19,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,20,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,21,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,22,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,23,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,24,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,25,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,26,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,27,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,28,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,29,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,30,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,31,1,0,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,32,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,33,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,34,0,1,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,35,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,36,0,1,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,37,1,0,0,0,3,3,0,0,1
760433,ARG-ALG GS,2026-06-17,38,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,39,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,40,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,41,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,42,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,43,1,0,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,44,0,0,0,0,1,0,0,0,1
760433,ARG-ALG GS,2026-06-17,45,1,1,0,0,12,4,0,0,1
760433,ARG-ALG GS,2026-06-17,46,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,47,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,48,0,1,0,0,2,2,0,0,1
760433,ARG-ALG GS,2026-06-17,49,0,0,0,0,0,0,0,0,0
760433,ARG-ALG GS,2026-06-17,50,0,0,0,0,0,0,0,0,0
