event_id,match,date,arg_fouls,opp_fouls,arg_carded_fouls,opp_carded_fouls,arg_card_rate,opp_card_rate
760433,ARG-ALG GS,2026-06-17,13,7,0,0,0.0,0.0
760456,ARG-AUT GS,2026-06-22,12,13,2,2,0.1667,0.1538
760483,JOR-ARG GS,2026-06-28,7,13,0,3,0.0,0.2308
760500,ARG-CPV R32,2026-07-03,12,13,1,1,0.0833,0.0769
760509,ARG-EGY R16,2026-07-07,13,11,0,2,0.0,0.1818
760513,ARG-SUI QF,2026-07-12,14,16,2,2,0.1429,0.125
760515,ENG-ARG SF,2026-07-15,15,12,3,1,0.2,0.0833
760517,ESP-ARG Final,2026-07-19,25,21,8,0,0.32,0.0
