event_id,match,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,fouls_with_media_families,media_coverage_rows,any_event
760517,ESP-ARG Final,0,0,0,0,0,0,0,0
760517,ESP-ARG Final,1,0,0,0,0,0,3,1
760517,ESP-ARG Final,2,0,1,0,0,0,0,1
760517,ESP-ARG Final,3,0,0,0,0,0,0,0
760517,ESP-ARG Final,4,1,0,0,0,0,0,1
760517,ESP-ARG Final,5,0,0,0,0,0,0,0
760517,ESP-ARG Final,6,0,0,0,0,0,0,0
760517,ESP-ARG Final,7,0,0,0,0,0,0,0
760517,ESP-ARG Final,8,0,1,0,0,0,0,1
760517,ESP-ARG Final,9,0,0,0,0,0,0,0
760517,ESP-ARG Final,10,0,0,0,0,0,0,0
760517,ESP-ARG Final,11,0,0,0,0,0,0,0
760517,ESP-ARG Final,12,0,0,0,0,0,0,0
760517,ESP-ARG Final,13,0,0,0,0,0,0,0
760517,ESP-ARG Final,14,1,0,0,0,1,17,1
760517,ESP-ARG Final,15,0,0,0,0,0,0,0
760517,ESP-ARG Final,16,0,1,0,0,0,0,1
760517,ESP-ARG Final,17,0,0,0,0,0,0,0
760517,ESP-ARG Final,18,1,0,0,0,1,2,1
760517,ESP-ARG Final,19,0,0,0,0,0,0,0
760517,ESP-ARG Final,20,0,1,0,0,0,0,1
760517,ESP-ARG Final,21,0,0,0,0,0,0,0
760517,ESP-ARG Final,22,0,0,0,0,0,0,0
760517,ESP-ARG Final,23,0,0,0,0,0,0,0
760517,ESP-ARG Final,24,0,1,0,0,0,0,1
760517,ESP-ARG Final,25,0,0,0,0,0,0,0
760517,ESP-ARG Final,26,0,0,0,0,0,0,0
760517,ESP-ARG Final,27,0,0,0,0,0,0,0
760517,ESP-ARG Final,28,0,0,0,0,0,1,1
760517,ESP-ARG Final,29,1,0,0,0,1,4,1
760517,ESP-ARG Final,30,0,0,0,0,0,0,0
760517,ESP-ARG Final,31,0,0,0,0,0,0,0
760517,ESP-ARG Final,32,0,0,0,0,0,0,0
760517,ESP-ARG Final,33,0,1,0,0,0,0,1
760517,ESP-ARG Final,34,1,0,0,0,0,0,1
760517,ESP-ARG Final,35,0,0,0,0,0,0,0
760517,ESP-ARG Final,36,1,0,0,0,1,2,1
760517,ESP-ARG Final,37,0,0,0,0,0,1,1
760517,ESP-ARG Final,38,1,0,0,0,0,0,1
760517,ESP-ARG Final,39,0,0,0,0,0,0,0
760517,ESP-ARG Final,40,0,0,0,0,0,0,0
760517,ESP-ARG Final,41,1,0,1,0,0,0,1
760517,ESP-ARG Final,42,0,0,0,0,0,0,0
760517,ESP-ARG Final,43,0,0,0,0,0,0,0
760517,ESP-ARG Final,44,0,0,0,0,0,0,0
760517,ESP-ARG Final,45,0,1,0,0,0,0,1
760517,ESP-ARG Final,46,0,0,0,0,0,0,0
760517,ESP-ARG Final,47,0,0,0,0,0,0,0
760517,ESP-ARG Final,48,0,0,0,0,0,0,0
760517,ESP-ARG Final,49,0,0,0,0,0,0,0
760517,ESP-ARG Final,50,0,1,0,0,0,0,1
760517,ESP-ARG Final,51,0,1,0,0,0,0,1
760517,ESP-ARG Final,52,1,0,1,0,1,2,1
760517,ESP-ARG Final,53,0,0,0,0,0,0,0
760517,ESP-ARG Final,54,0,2,0,0,0,0,1
760517,ESP-ARG Final,55,0,0,0,0,0,0,0
760517,ESP-ARG Final,56,2,0,0,0,0,0,1
760517,ESP-ARG Final,57,0,0,0,0,0,0,0
760517,ESP-ARG Final,58,0,0,0,0,0,0,0
760517,ESP-ARG Final,59,0,0,0,0,0,0,0
760517,ESP-ARG Final,60,1,0,0,0,1,1,1
760517,ESP-ARG Final,61,0,0,0,0,0,0,0
760517,ESP-ARG Final,62,1,0,0,0,0,0,1
760517,ESP-ARG Final,63,0,0,0,0,0,0,0
760517,ESP-ARG Final,64,0,0,0,0,0,0,0
760517,ESP-ARG Final,65,0,0,0,0,0,0,0
760517,ESP-ARG Final,66,0,0,0,0,0,0,0
760517,ESP-ARG Final,67,0,0,0,0,0,0,0
760517,ESP-ARG Final,68,0,0,0,0,0,0,0
760517,ESP-ARG Final,69,0,0,0,0,0,0,0
760517,ESP-ARG Final,70,0,0,0,0,0,0,0
760517,ESP-ARG Final,71,0,0,0,0,0,0,0
760517,ESP-ARG Final,72,0,0,0,0,0,0,0
