event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text,phase_counter_settled_other,own_half_y_n,intensity_1_3,recadito_y_n,uncalled_nearby_y_n,notes
760517,ESP-ARG Final,2026-07-19,49880179,90'+1',2,Spain,Ferran Torres,Nicolás Otamendi,Argentina,defensive half,41.7,17.7,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,Foul by Ferran Torres (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880188,90'+1',2,Spain,Aymeric Laporte,Lionel Messi,Argentina,attacking half,35.4,76.6,Lionel Messi (Argentina) wins a free kick in the attacking half.,Foul by Aymeric Laporte (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880212,90'+3',2,Argentina,Enzo Fernández,,,,54.0,29.3,Foul by Enzo Fernández (Argentina).,Pau Cubarsí (Spain) wins a free kick in the attacking half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880237,90'+6',2,Argentina,Leandro Paredes,,,,23.0,45.2,Foul by Leandro Paredes (Argentina).,Ferran Torres (Spain) wins a free kick in the attacking half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880277,92',3,Spain,Pedro Porro,Nicolás Tagliafico,Argentina,defensive half,27.4,76.4,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,Foul by Pedro Porro (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880298,93',3,Spain,Pedri,Alexis Mac Allister,Argentina,defensive half,70.4,44.0,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,Foul by Pedri (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880311,94',3,Argentina,Giuliano Simeone,,,,65.4,29.2,Foul by Giuliano Simeone (Argentina).,Aymeric Laporte (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880352,96',3,Spain,Mikel Merino,Nicolás Otamendi,Argentina,defensive half,87.8,47.3,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,Foul by Mikel Merino (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880377,100',3,Argentina,Lionel Messi,,,,56.6,77.1,Foul by Lionel Messi (Argentina).,Pau Cubarsí (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880504,105'+3',3,Argentina,Giuliano Simeone,,,,82.2,92.2,Foul by Giuliano Simeone (Argentina).,Foul by Giuliano Simeone (Argentina).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880506,105'+3',3,Argentina,,Pedro Porro,Spain,defensive half,16.4,7.6,Pedro Porro (Spain) wins a free kick in the defensive half.,Pedro Porro (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880534,108',4,Spain,Lamine Yamal,Nicolás Tagliafico,Argentina,attacking half,43.6,36.0,Nicolás Tagliafico (Argentina) wins a free kick in the attacking half.,Foul by Lamine Yamal (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880588,111',4,Argentina,Alexis Mac Allister,,,,73.6,7.4,Foul by Alexis Mac Allister (Argentina).,Marc Cucurella (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880598,111',4,Argentina,Nicolás Tagliafico,,,,59.2,85.6,Foul by Nicolás Tagliafico (Argentina).,Mikel Merino (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880643,114',4,Spain,Nico Williams,Leandro Paredes,Argentina,right wing,42.8,88.9,Leandro Paredes (Argentina) wins a free kick on the right wing.,Foul by Nico Williams (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880697,119',4,Spain,Nico Williams,Marcos Senesi,Argentina,right wing,39.2,81.0,Marcos Senesi (Argentina) wins a free kick on the right wing.,Foul by Nico Williams (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880735,120'+3',4,Argentina,Nicolás Tagliafico,,,,81.6,59.0,Foul by Nicolás Tagliafico (Argentina).,Pau Cubarsí (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49880744,120'+4',4,Spain,Eric García,Nicolás Otamendi,Argentina,defensive half,45.6,58.7,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,Foul by Eric García (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49880758,120'+5',4,Spain,Marc Cucurella,Nicolás Otamendi,Argentina,defensive half,62.8,74.0,Nicolás Otamendi (Argentina) wins a free kick in the defensive half.,Foul by Marc Cucurella (Spain).,,,,,,
